City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yerbogachen,RU,61.2767,108.0108,6.76,96,87,4.61,overcast clouds
80,Vaini,TO,-21.2,-175.2,84.2,74,40,10.36,light rain
81,Gat,IL,31.61,34.7642,53.01,100,99,8.99,overcast clouds
82,Cidreira,BR,-30.1811,-50.2056,70.66,89,99,2.68,overcast clouds
83,Torbay,CA,47.6666,-52.7314,45.0,93,90,14.97,overcast clouds
84,Dikson,RU,73.5069,80.5464,-13.72,100,100,10.0,overcast clouds
85,Cherskiy,RU,68.75,161.3,-5.73,89,92,8.55,overcast clouds
86,Bengkulu,ID,-3.8004,102.2655,76.68,89,99,4.12,overcast clouds
87,Raymondville,US,26.4815,-97.7831,84.2,51,1,9.22,clear sky
88,Hobyo,SO,5.3505,48.5268,79.16,69,12,11.41,few clouds
89,Mosjoen,NO,65.836,13.1908,46.4,57,100,23.02,overcast clouds
90,Ossora,RU,59.2353,163.0719,9.59,83,15,3.58,few clouds
91,Hithadhoo,MV,-0.6,73.0833,82.42,71,65,7.23,broken clouds
92,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.2,53,100,4.47,overcast clouds
93,Half Moon Bay,US,37.4636,-122.4286,69.8,36,1,13.8,clear sky
94,Bonfim,BR,3.0833,-59.95,83.21,62,99,9.51,overcast clouds
95,Esperance,AU,-33.8667,121.9,57.2,88,0,12.66,clear sky
96,East London,ZA,-33.0153,27.9116,68.97,85,63,17.58,broken clouds
97,Nioki,CD,-2.7167,17.6833,70.32,98,100,1.79,light rain
98,San Cristobal,VE,7.7669,-72.225,71.6,100,75,2.3,fog
99,Portland,US,45.5234,-122.6762,57.0,47,75,3.44,broken clouds
100,Solone,UA,48.2081,34.8721,33.8,80,0,4.47,clear sky
101,Cape Town,ZA,-33.9258,18.4232,63.0,94,75,9.22,light rain
102,Mogadishu,SO,2.0371,45.3438,79.38,72,86,18.3,overcast clouds
103,Bima,ID,-8.4667,118.7167,81.36,86,91,4.07,overcast clouds
104,Sena Madureira,BR,-9.0656,-68.6569,74.37,94,94,2.33,light rain
105,Kuytun,RU,54.3419,101.5036,22.12,92,96,10.2,overcast clouds
106,Platanos,GR,37.6667,21.6167,42.8,81,40,4.61,scattered clouds
107,Bethel,US,41.3712,-73.414,71.6,35,1,16.11,clear sky
108,Cheremukhovo,RU,60.3484,59.9851,21.76,92,36,6.15,scattered clouds
109,Grindavik,IS,63.8424,-22.4338,17.6,67,40,10.36,scattered clouds
110,Tarko-Sale,RU,64.9225,77.785,2.17,94,26,9.8,scattered clouds
111,Estelle,US,29.8458,-90.1067,80.6,83,75,13.8,broken clouds
112,Avarua,CK,-21.2078,-159.775,84.2,70,40,13.8,scattered clouds
113,Huilong,CN,31.8111,121.655,63.0,95,99,4.0,light rain
114,Tazmalt,DZ,36.3868,4.3989,59.31,37,98,6.31,overcast clouds
115,Chokurdakh,RU,70.6333,147.9167,-16.28,96,83,5.48,broken clouds
116,Buala,SB,-8.145,159.5921,85.35,72,32,11.41,light rain
117,Klaksvik,FO,62.2266,-6.589,39.2,45,20,19.57,few clouds
118,Talnakh,RU,69.4865,88.3972,15.67,94,100,9.48,light snow
119,Krasnyy Klyuch,RU,55.3863,56.6529,32.61,96,100,5.1,overcast clouds
120,Nhulunbuy,AU,-12.2333,136.7667,84.2,84,40,4.61,scattered clouds
121,San Vicente,AR,-26.6167,-54.1333,71.85,68,98,2.59,overcast clouds
